t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
29.100,map,3.6127,11.0838,-0.1602,3.6254,11.0712,-0.1647
29.200,map,3.6572,11.0766,-0.1604,3.6698,11.0638,-0.1648
29.300,map,3.7013,11.0695,-0.1604,3.7141,11.0565,-0.1648
29.400,map,3.7454,11.0624,-0.1603,3.7585,11.0491,-0.1649
29.500,map,3.7901,11.0551,-0.1604,3.8029,11.0417,-0.1649
29.600,map,3.8344,11.0480,-0.1602,3.8473,11.0343,-0.1647
29.700,map,3.8787,11.0408,-0.1595,3.8917,11.0269,-0.1641
29.800,map,3.9232,11.0337,-0.1588,3.9361,11.0196,-0.1636
29.900,map,3.9677,11.0266,-0.1583,3.9805,11.0123,-0.1632
30.000,map,4.0126,11.0194,-0.1578,4.0249,11.0050,-0.1628
30.100,map,4.0574,11.0123,-0.1576,4.0693,10.9977,-0.1626
30.200,map,4.1018,11.0052,-0.1573,4.1137,10.9904,-0.1623
30.300,map,4.1463,10.9982,-0.1567,4.1581,10.9831,-0.1622
30.400,map,4.1903,10.9912,-0.1567,4.2025,10.9759,-0.1620
30.500,map,4.2344,10.9843,-0.1565,4.2469,10.9686,-0.1620
30.600,map,4.2792,10.9772,-0.1565,4.2914,10.9614,-0.1619
30.700,map,4.3235,10.9702,-0.1564,4.3358,10.9541,-0.1619
30.800,map,4.3682,10.9632,-0.1567,4.3802,10.9469,-0.1618
30.900,map,4.4122,10.9562,-0.1566,4.4246,10.9396,-0.1618
31.000,map,4.4563,10.9492,-0.1567,4.4690,10.9324,-0.1617
31.100,map,4.5009,10.9422,-0.1565,4.5134,10.9251,-0.1616
31.200,map,4.5452,10.9352,-0.1563,4.5578,10.9179,-0.1616
31.300,map,4.5893,10.9283,-0.1561,4.6022,10.9106,-0.1616
31.400,map,4.6336,10.9213,-0.1558,4.6467,10.9034,-0.1616
31.500,map,4.6782,10.9143,-0.1557,4.6911,10.8962,-0.1616
31.600,map,4.7225,10.9073,-0.1556,4.7355,10.8889,-0.1617
31.700,map,4.7668,10.9004,-0.1555,4.7799,10.8817,-0.1617
31.800,map,4.8117,10.8934,-0.1556,4.8243,10.8744,-0.1618
31.900,map,4.8562,10.8864,-0.1557,4.8687,10.8672,-0.1619
32.000,map,4.9008,10.8794,-0.1560,4.9131,10.8599,-0.1620
32.100,map,4.9452,10.8724,-0.1561,4.9575,10.8526,-0.1621
32.200,map,4.9894,10.8654,-0.1562,5.0020,10.8454,-0.1621
32.300,map,5.0341,10.8502,-0.1562,5.0464,10.8381,-0.1621
32.400,map,5.0786,10.8414,-0.1555,5.0908,10.8309,-0.1619
32.500,map,5.1235,10.8343,-0.1555,5.1352,10.8236,-0.1616
32.600,map,5.1678,10.8274,-0.1549,5.1796,10.8164,-0.1614
32.700,map,5.2123,10.8205,-0.1539,5.2240,10.8092,-0.1603
32.800,map,5.2568,10.8136,-0.1528,5.2684,10.8020,-0.1592
32.900,map,5.3011,10.8068,-0.1521,5.3129,10.7949,-0.1582
33.000,map,5.3457,10.8000,-0.1513,5.3573,10.7878,-0.1574
33.100,map,5.3903,10.7932,-0.1506,5.4018,10.7808,-0.1567
33.200,map,5.4348,10.7865,-0.1498,5.4462,10.7738,-0.1561
33.300,map,5.4797,10.7797,-0.1490,5.4907,10.7668,-0.1556
33.400,map,5.5242,10.7730,-0.1485,5.5351,10.7598,-0.1552
33.500,map,5.5687,10.7664,-0.1483,5.5796,10.7529,-0.1549
33.600,map,5.6135,10.7597,-0.1480,5.6241,10.7460,-0.1546
33.700,map,5.6676,10.7612,-0.1514,5.6685,10.7390,-0.1544
33.800,map,5.7126,10.7544,-0.1510,5.7130,10.7321,-0.1540
33.900,map,5.7572,10.7476,-0.1509,5.7575,10.7252,-0.1537
34.000,map,5.8015,10.7409,-0.1505,5.8019,10.7183,-0.1534
34.100,map,5.8461,10.7341,-0.1499,5.8464,10.7115,-0.1532
34.200,map,5.8907,10.7274,-0.1497,5.8909,10.7046,-0.1530
34.300,map,5.9356,10.7206,-0.1496,5.9353,10.6978,-0.1529
34.400,map,5.9802,10.7139,-0.1494,5.9798,10.6909,-0.1528
34.500,map,6.0250,10.7072,-0.1490,6.0243,10.6841,-0.1527
34.600,map,6.0693,10.7005,-0.1490,6.0688,10.6772,-0.1527
34.700,map,6.1137,10.6938,-0.1490,6.1132,10.6704,-0.1527
34.800,map,6.1584,10.6871,-0.1487,6.1577,10.6635,-0.1527
34.900,map,6.1983,10.6805,-0.1484,6.2022,10.6567,-0.1527
35.000,map,6.2373,10.6738,-0.1486,6.2467,10.6498,-0.1527
35.100,map,6.2816,10.6672,-0.1487,6.2912,10.6430,-0.1527
35.200,map,6.3259,10.6606,-0.1488,6.3356,10.6361,-0.1527
35.300,map,6.3704,10.6539,-0.1486,6.3801,10.6293,-0.1527
35.400,map,6.4144,10.6473,-0.1486,6.4246,10.6225,-0.1526
35.500,map,6.4587,10.6407,-0.1487,6.4691,10.6156,-0.1526
35.600,map,6.5034,10.6340,-0.1484,6.5135,10.6088,-0.1526
35.700,map,6.5478,10.6273,-0.1482,6.5580,10.6019,-0.1526
35.800,map,6.5926,10.6207,-0.1481,6.6025,10.5951,-0.1526
35.900,map,6.6372,10.6140,-0.1479,6.6470,10.5882,-0.1527
36.000,map,6.6816,10.6074,-0.1483,6.6914,10.5814,-0.1528
36.100,map,6.7257,10.6008,-0.1483,6.7359,10.5746,-0.1528
36.200,map,6.7703,10.5914,-0.1485,6.7804,10.5677,-0.1528
36.300,map,6.8148,10.5775,-0.1484,6.8249,10.5609,-0.1528
